iter	Passed	Remaining
234	2107	6859
235	2117	6853
236	2125	6842
237	2133	6831
238	2142	6820
239	2150	6809
240	2158	6798
241	2167	6789
242	2175	6778
243	2184	6767
244	2192	6757
245	2201	6747
246	2210	6739
247	2219	6731
248	2241	6760
249	2250	6750
250	2264	6756
251	2274	6752
252	2283	6740
253	2291	6730
254	2299	6718
255	2309	6712
256	2322	6715
257	2331	6704
258	2339	6692
259	2347	6680
260	2356	6671
261	2363	6657
262	2371	6646
263	2378	6631
264	2385	6616
265	2392	6600
266	2399	6587
267	2406	6573
268	2413	6558
269	2423	6552
270	2437	6557
271	2446	6547
272	2454	6537
273	2461	6522
274	2468	6509
275	2475	6494
276	2483	6481
277	2489	6466
278	2496	6452
279	2505	6442
280	2513	6431
281	2521	6419
282	2529	6408
283	2537	6397
284	2545	6385
285	2553	6374
286	2561	6363
287	2570	6353
288	2580	6347
289	2588	6336
290	2596	6325
291	2604	6314
292	2616	6313
293	2624	6303
294	2659	6355
295	2671	6354
296	2680	6343
297	2688	6333
298	2696	6321
299	2704	6311
300	2715	6306
301	2723	6294
302	2732	6286
303	2740	6275
304	2750	6266
305	2759	6257
306	2766	6245
307	2777	6241
308	2788	6236
309	2809	6253
310	2818	6244
311	2827	6235
312	2836	6225
313	2842	6210
314	2850	6198
315	2857	6185
316	2864	6172
317	2871	6158
318	2878	6145
319	2885	6132
320	2893	6120
321	2900	6106
322	2907	6094
323	2914	6080
324	2921	6068
325	2928	6054
326	2935	6041
327	2942	6028
328	2949	6014
329	2956	6001
330	2963	5989
331	2970	5975
332	2977	5963
333	2984	5951
334	2999	5954
335	3013	5954
336	3022	5946
337	3030	5935
338	3038	5924
339	3045	5912
340	3053	5900
341	3062	5891
342	3071	5883
343	3080	5875
344	3100	5887
345	3109	5877
346	3119	5870
347	3130	5865
348	3139	5855
349	3146	5843
350	3157	5837
351	3170	5836
352	3178	5825
353	3212	5861
354	3219	5849
355	3228	5840
356	3235	5828
357	3243	5816
358	3250	5803
359	3257	5791
360	3264	5778
361	3271	5765
362	3278	5752
363	3285	5739
364	3292	5728
365	3299	5715
366	3306	5702
367	3312	5689
368	3320	5677
369	3329	5669
370	3337	5657
371	3344	5646
372	3352	5634
373	3359	5623
374	3367	5612
375	3375	5601
376	3382	5590
377	3389	5578
378	3398	5567
379	3409	5562
380	3424	5563
381	3433	5554
382	3444	5548
383	3452	5537
384	3462	5530
385	3470	5520
386	3478	5510
387	3486	5499
388	3493	5487
389	3500	5475
390	3507	5463
391	3514	5450
392	3520	5438
393	3528	5426
394	3534	5414
395	3541	5401
396	3547	5388
397	3553	5374
398	3559	5361
399	3564	5347
400	3571	5335
401	3578	5323
402	3584	5310
403	3590	5297
404	3597	5285
405	3604	5272
406	3612	5262
407	3623	5257
408	3635	5253
409	3642	5242
410	3650	5231
411	3657	5220
412	3663	5207
413	3674	5200
414	3680	5188
415	3687	5176
416	3692	5162
417	3699	5151
418	3706	5140
419	3713	5128
420	3720	5116
421	3727	5105
422	3735	5096
423	3742	5084
424	3749	5073
425	3756	5061
426	3764	5052
427	3774	5044
428	3781	5033
429	3786	5019
430	3793	5008
431	3801	4998
432	3809	4988
433	3822	4984
434	3829	4973
435	3836	4962
436	3844	4953
437	3851	4942
438	3859	4931
439	3870	4926
440	3877	4915
441	3883	4903
442	3890	4891
443	3896	4879
444	3903	4868
445	3910	4857
446	3916	4845
447	3923	4833
448	3930	4822
449	3937	4812
450	3943	4800
451	3949	4788
452	3956	4778
453	3963	4766
454	3971	4756
455	3978	4746
456	3984	4734
457	3989	4721
458	3996	4710
459	4007	4704
460	4021	4701
461	4028	4690
462	4036	4681
463	4043	4670
464	4050	4660
465	4058	4651
466	4065	4640
467	4072	4629
468	4079	4619
469	4087	4609
470	4094	4598
471	4100	4586
472	4107	4576
473	4113	4564
474	4120	4554
475	4127	4543
476	4133	4532
477	4140	4521
478	4146	4509
479	4156	4502
480	4163	4492
481	4170	4481
482	4175	4469
483	4181	4458
484	4187	4446
485	4197	4439
486	4218	4443
487	4230	4438
488	4247	4438
489	4261	4435
490	4271	4428
491	4278	4417
492	4287	4409
493	4295	4399
494	4303	4390
495	4311	4381
496	4318	4370
497	4346	4381
498	4354	4371
499	4363	4363
500	4370	4353
501	4377	4342
502	4385	4333
503	4400	4330
504	4410	4323
505	4423	4318
506	4430	4308
507	4437	4297
508	4444	4287
509	4451	4276
510	4457	4265
511	4464	4255
512	4471	4244
513	4477	4233
514	4483	4222
515	4490	4212
516	4497	4201
517	4503	4190
518	4510	4179
519	4517	4169
520	4524	4159
521	4531	4149
522	4538	4139
523	4545	4128
524	4552	4118
525	4561	4110
526	4568	4100
527	4576	4091
528	4586	4083
529	4610	4088
530	4622	4082
531	4629	4072
532	4637	4063
533	4644	4052
534	4651	4042
535	4658	4032
536	4665	4022
537	4673	4013
538	4681	4003
539	4688	3994
540	4696	3984
541	4703	3974
542	4709	3963
543	4717	3954
544	4724	3944
545	4731	3934
546	4738	3924
547	4745	3914
548	4752	3904
549	4758	3893
550	4766	3884
551	4773	3874
552	4780	3864
553	4789	3855
554	4797	3846
555	4809	3840
556	4817	3831
557	4824	3821
558	4831	3811
559	4837	3801
560	4844	3790
561	4850	3780
562	4856	3769
563	4862	3758
564	4868	3748
565	4874	3737
566	4879	3726
567	4886	3716
568	4893	3706
569	4899	3696
570	4905	3685
571	4911	3674
572	4917	3664
573	4923	3654
574	4929	3643
575	4936	3633
576	4944	3624
577	4951	3614
578	4957	3604
579	4964	3594
580	4970	3584
581	4976	3574
582	4981	3563
583	4989	3554
584	4998	3545
585	5011	3540
586	5017	3530
587	5025	3521
588	5032	3511
589	5038	3501
590	5044	3491
591	5049	3480
592	5056	3470
593	5061	3459
594	5067	3449
595	5073	3438
596	5078	3428
597	5084	3418
598	5090	3408
599	5096	3397
600	5102	3387
601	5107	3376
602	5114	3367
603	5121	3357
604	5127	3347
605	5133	3337
606	5140	3328
607	5146	3318
608	5152	3307
609	5159	3298
610	5165	3288
611	5171	3278
612	5178	3269
613	5187	3260
614	5196	3252
615	5207	3246
616	5214	3236
617	5221	3227
618	5227	3217
619	5232	3207
620	5238	3197
621	5244	3187
622	5251	3177
623	5258	3168
624	5265	3159
625	5270	3149
626	5276	3139
627	5283	3129
628	5293	3122
629	5300	3113
630	5307	3103
631	5313	3094
632	5319	3084
633	5325	3074
634	5332	3064
635	5338	3055
636	5343	3045
637	5349	3035
638	5357	3026
639	5363	3016
640	5368	3006
641	5377	2998
642	5393	2994
643	5401	2985
644	5408	2976
645	5416	2967
646	5423	2959
647	5436	2953
648	5443	2944
649	5450	2934
650	5456	2925
651	5462	2915
652	5468	2905
653	5475	2896
654	5480	2886
655	5486	2877
656	5494	2868
657	5501	2859
658	5507	2849
659	5514	2840
660	5521	2831
661	5528	2822
662	5538	2815
663	5545	2806
664	5553	2797
665	5561	2788
666	5570	2781
667	5584	2775
668	5600	2771
669	5610	2763
670	5624	2757
671	5639	2752
672	5648	2744
673	5656	2735
674	5663	2726
675	5670	2718
676	5678	2709
677	5685	2700
678	5693	2691
679	5702	2683
680	5709	2674
681	5718	2666
682	5726	2657
683	5732	2648
684	5739	2639
685	5746	2630
686	5752	2620
687	5759	2611
688	5765	2602
689	5772	2593
690	5778	2584
691	5787	2575
692	5799	2569
693	5806	2560
694	5814	2551
695	5821	2542
696	5828	2533
697	5835	2524
698	5842	2515
699	5849	2506
700	5855	2497
701	5867	2490
702	5874	2482
703	5881	2473
704	5889	2464
705	5895	2455
706	5902	2446
707	5909	2437
708	5916	2428
709	5923	2419
710	5929	2410
711	5936	2401
712	5942	2392
713	5949	2383
714	5956	2374
715	5963	2365
716	5970	2356
717	5978	2348
718	5987	2340
719	5997	2332
720	6004	2323
721	6011	2314
722	6020	2306
723	6027	2297
724	6033	2288
725	6039	2279
726	6045	2270
727	6051	2260
728	6057	2251
729	6063	2242
730	6069	2233
731	6075	2224
732	6082	2215
733	6088	2206
734	6094	2197
735	6101	2188
736	6108	2179
737	6114	2170
738	6120	2161
739	6125	2152
740	6131	2143
741	6136	2133
742	6143	2124
743	6148	2115
744	6154	2106
745	6160	2097
746	6167	2088
747	6174	2080
748	6182	2071
749	6191	2063
750	6202	2056
751	6208	2047
752	6217	2039
753	6223	2030
754	6230	2021
755	6237	2013
756	6244	2004
757	6250	1995
758	6257	1986
759	6262	1977
760	6269	1969
761	6276	1960
762	6283	1951
763	6288	1942
764	6294	1933
765	6300	1924
766	6307	1916
767	6313	1907
768	6318	1898
769	6324	1889
770	6331	1880
771	6336	1871
772	6343	1862
773	6351	1854
774	6357	1845
775	6364	1837
776	6371	1828
777	6379	1820
778	6388	1812
779	6398	1804
780	6406	1796
781	6412	1787
782	6419	1778
783	6425	1770
784	6431	1761
785	6437	1752
786	6444	1744
787	6450	1735
788	6456	1726
789	6462	1717
790	6468	1709
791	6475	1700
792	6480	1691
793	6486	1682
794	6492	1674
795	6497	1665
796	6504	1656
797	6510	1647
798	6515	1639
799	6521	1630
800	6526	1621
801	6533	1612
802	6540	1604
803	6547	1596
804	6553	1587
805	6560	1579
806	6567	1570
807	6576	1562
808	6582	1554
809	6593	1546
810	6601	1538
811	6607	1529
812	6613	1521
813	6619	1512
814	6626	1504
815	6633	1495
816	6640	1487
817	6646	1478
818	6653	1470
819	6659	1461
820	6666	1453
821	6672	1444
822	6678	1436
823	6684	1427
824	6690	1419
825	6696	1410
826	6702	1402
827	6708	1393
828	6714	1384
829	6719	1376
830	6726	1367
831	6740	1361
832	6746	1352
833	6752	1343
834	6758	1335
835	6765	1327
836	6774	1319
837	6785	1311
838	6793	1303
839	6800	1295
840	6806	1286
841	6812	1278
842	6818	1269
843	6824	1261
844	6830	1252
845	6837	1244
846	6842	1235
847	6848	1227
848	6855	1219
849	6861	1210
850	6869	1202
851	6882	1195
852	6889	1187
853	6896	1178
854	6902	1170
855	6908	1162
856	6914	1153
857	6920	1145
858	6926	1136
859	6933	1128
860	6941	1120
861	6947	1112
862	6953	1103
863	6959	1095
864	6967	1087
865	6978	1079
866	6986	1071
867	6992	1063
868	7001	1055
869	7007	1047
870	7019	1039
871	7029	1031
872	7036	1023
873	7042	1015
874	7048	1006
875	7055	998
876	7061	990
877	7067	982
878	7072	973
879	7078	965
880	7084	956
881	7091	948
882	7098	940
883	7104	932
884	7109	923
885	7115	915
886	7122	907
887	7128	899
888	7134	890
889	7140	882
890	7145	874
891	7151	865
892	7159	857
893	7168	850
894	7179	842
895	7186	834
896	7194	826
897	7199	817
898	7206	809
899	7212	801
900	7218	793
901	7224	784
902	7230	776
903	7236	768
904	7242	760
905	7248	752
906	7255	743
907	7260	735
908	7266	727
909	7273	719
910	7280	711
911	7287	703
912	7294	695
913	7301	686
914	7308	678
915	7313	670
916	7320	662
917	7328	654
918	7335	646
919	7342	638
920	7349	630
921	7361	622
922	7369	614
923	7381	607
924	7387	599
925	7394	590
926	7405	583
927	7412	575
928	7418	566
929	7425	558
930	7431	550
931	7437	542
932	7443	534
933	7448	526
934	7461	518
935	7468	510
936	7474	502
937	7481	494
938	7487	486
939	7494	478
940	7500	470
941	7507	462
942	7513	454
943	7520	446
944	7526	438
945	7532	429
946	7538	421
947	7543	413
948	7550	405
949	7556	397
950	7564	389
951	7572	381
952	7585	374
953	7599	366
954	7606	358
955	7612	350
956	7619	342
957	7626	334
958	7633	326
959	7639	318
960	7645	310
961	7652	302
962	7658	294
963	7664	286
964	7670	278
965	7676	270
966	7683	262
967	7690	254
968	7701	246
969	7708	238
970	7714	230
971	7720	222
972	7727	214
973	7734	206
974	7744	198
975	7751	190
976	7762	182
977	7770	174
978	7777	166
979	7785	158
980	7791	150
981	7797	142
982	7804	134
983	7811	127
984	7818	119
985	7824	111
986	7832	103
987	7841	95
988	7849	87
989	7855	79
990	7861	71
991	7867	63
992	7873	55
993	7879	47
994	7885	39
995	7892	31
996	7898	23
997	7903	15
998	7910	7
999	7917	0
