iter	Logloss
0	0.6367866047
1	0.5793094847
2	0.5310597787
3	0.4927497703
4	0.4523511585
5	0.4207622475
6	0.3928183513
7	0.3678881524
8	0.345432595
9	0.3268957621
10	0.3077184036
11	0.2945958587
12	0.2784616481
13	0.2640559706
14	0.2529267559
15	0.2452554974
16	0.2385928257
17	0.2323917502
18	0.2226209107
19	0.2162003076
20	0.210872456
21	0.2047065703
22	0.1993828716
23	0.1948765853
24	0.1915717531
25	0.1879561995
26	0.1846093704
27	0.1819496417
28	0.1802755038
29	0.1786794812
30	0.1759249254
31	0.1735659967
32	0.1722148246
33	0.1697725238
34	0.1687115202
35	0.167330149
36	0.1667573665
37	0.1658017798
38	0.164168766
39	0.1630831261
40	0.162243125
41	0.1611873276
42	0.1600116186
43	0.1591365817
44	0.1584351426
45	0.1581509417
46	0.1577371448
47	0.1569489764
48	0.1565864959
49	0.155992492
50	0.1555959262
51	0.1553138236
52	0.1549290682
53	0.1545142697
54	0.1541325537
55	0.1535777291
56	0.1533115374
57	0.1530847632
58	0.1526342599
59	0.1523266617
60	0.1520202991
61	0.1517651763
62	0.1515664488
63	0.1514134316
64	0.1511636946
65	0.1508371316
66	0.1505437573
67	0.1502955152
68	0.1501686142
69	0.1500169493
70	0.1497325784
71	0.1496142892
72	0.1493783236
73	0.1491811783
74	0.14903382
75	0.1489061573
76	0.1487573653
77	0.1486492214
78	0.148427638
79	0.1482441046
80	0.1480246408
81	0.1478444844
82	0.1475917048
83	0.1474212232
84	0.147198579
85	0.1470633912
86	0.1468994192
87	0.1467914384
88	0.1467209258
89	0.1465518324
90	0.1464087132
91	0.146270492
92	0.1460770649
93	0.1459073689
94	0.145840078
95	0.1457772474
96	0.1456698466
97	0.1456343244
98	0.1455387498
99	0.1455248933
100	0.1453586326
101	0.1451969477
102	0.1450853054
103	0.1449304342
104	0.1448615273
105	0.1447356052
106	0.1445713401
107	0.1444963004
108	0.144452678
109	0.144333036
110	0.1443064437
111	0.1442331901
112	0.1441881417
113	0.1440839207
114	0.1439923983
115	0.1439155321
116	0.143865688
117	0.1438079006
118	0.1437723522
119	0.1436359188
120	0.1435479887
121	0.1434950363
122	0.1434279645
123	0.1434169511
124	0.1433700008
125	0.1433134737
126	0.1432348974
127	0.1431930324
128	0.1431718709
129	0.1431619456
130	0.143033778
131	0.1429801665
132	0.1429369372
133	0.1428768433
134	0.1427721375
135	0.1426360435
136	0.1426054467
137	0.1425375438
138	0.1425104077
139	0.142429206
140	0.1423195168
141	0.1422395063
142	0.1422035921
143	0.1421728501
144	0.1421471494
145	0.142098968
146	0.1420079396
147	0.1418982939
148	0.1418182705
149	0.1417542487
150	0.1416487874
151	0.1415300333
152	0.1414813065
153	0.1414447235
154	0.1413165617
155	0.1412536802
156	0.1411735907
157	0.141128991
158	0.1411018025
159	0.1410634487
160	0.1410194166
161	0.1409425358
162	0.1408524237
163	0.1408254809
164	0.1408139015
165	0.1407515303
166	0.140712889
167	0.1406562813
168	0.1405926511
169	0.1405653709
170	0.1405282587
171	0.1405116112
172	0.1404976187
173	0.1404360842
174	0.1403876348
175	0.1403113792
176	0.1402747617
177	0.1402291245
178	0.1402081571
179	0.1401638207
180	0.1401295704
181	0.1400667219
182	0.1400111786
183	0.1399552579
184	0.1399061384
185	0.1398787522
186	0.1398283108
187	0.1397599941
188	0.1396808383
189	0.1395996433
190	0.1395590628
191	0.1395105931
192	0.1394581421
193	0.1393912399
194	0.1393175698
195	0.139222758
196	0.139207124
197	0.1391271968
198	0.1390822302
199	0.1390272963
200	0.1389729897
201	0.1389669775
202	0.1389112026
203	0.1388480826
204	0.1388184572
205	0.1387696153
206	0.1387545984
207	0.1386982989
208	0.1386569542
209	0.1386141596
210	0.1385488423
211	0.1385251727
212	0.1384996625
213	0.138432108
214	0.1384133545
215	0.1383412212
216	0.1383146467
217	0.138291798
218	0.1382278639
219	0.1381947093
220	0.138127893
221	0.1380627613
222	0.1380241927
223	0.1379963565
224	0.13796841
225	0.137932648
226	0.137891101
227	0.1378601324
228	0.1377838258
229	0.1377341033
230	0.1376497738
231	0.1375851764
232	0.1375579367
233	0.137518226
234	0.1374974597
235	0.1374574046
236	0.1374330763
237	0.1374030328
238	0.1373671001
239	0.1373467663
240	0.1372612654
241	0.1371729765
242	0.1371228144
243	0.1371085691
244	0.1370860972
245	0.1370456733
246	0.1369447618
247	0.1369112897
248	0.1368410899
249	0.1368020716
250	0.1367684759
251	0.1367136066
252	0.1366677374
253	0.1366427403
254	0.1366176187
255	0.1365914617
256	0.1365340015
257	0.1365054618
258	0.1364640186
259	0.1364261364
260	0.1363863494
261	0.1363416375
262	0.1363031814
263	0.1362728799
264	0.1362503146
265	0.1362121526
266	0.1361563423
267	0.1361291666
268	0.1361113184
269	0.1360586163
270	0.1360060085
271	0.1359733899
272	0.1359376011
273	0.1359104268
274	0.1358201326
275	0.1357752347
276	0.1357272537
277	0.1357026581
278	0.1356582457
279	0.1356092027
280	0.1355760491
281	0.1355420442
282	0.135516227
283	0.1354729214
284	0.1354417897
285	0.1353801727
286	0.1353414589
287	0.1352857352
288	0.1352493389
289	0.135208922
290	0.1351885568
291	0.1351114841
292	0.1350368552
293	0.1350152481
294	0.1349912363
295	0.1349601708
296	0.1349412486
297	0.1349046627
298	0.1348886573
299	0.1348428228
300	0.1347760522
301	0.1347160231
302	0.1346808664
303	0.1346263797
304	0.1345952983
305	0.1345820924
306	0.1345688373
307	0.1345173519
308	0.1344497986
309	0.134400533
310	0.1343716975
311	0.1343448149
312	0.1342833246
313	0.1342522216
314	0.1342235872
315	0.1342073465
316	0.1341794394
317	0.1341436097
318	0.1340971505
319	0.1340783201
320	0.1340411163
321	0.134009617
322	0.1339952131
323	0.1339640491
324	0.1338910752
325	0.1338780497
326	0.1338313417
327	0.1337915912
328	0.1337662409
329	0.1337414373
330	0.1336907826
331	0.1336759092
332	0.1336492699
333	0.1336090897
334	0.1335946162
335	0.1335732465
336	0.1335443269
337	0.1334977921
338	0.133469507
339	0.1334301365
340	0.1333966972
341	0.1333775578
342	0.1333491659
343	0.1332818907
344	0.1332510799
345	0.133228001
346	0.1331739747
347	0.1331525124
348	0.1331337914
349	0.1331166415
350	0.1330793205
351	0.133046089
352	0.1330215144
353	0.1329992435
354	0.1329862409
355	0.1329482076
356	0.1329270591
357	0.1329019602
358	0.1328772472
359	0.1328606212
360	0.1328293753
361	0.1327984484
362	0.1327771545
363	0.1327641931
364	0.1326763264
365	0.1326566741
366	0.1326346903
367	0.132608033
368	0.1325885985
369	0.1325498401
370	0.1325195637
371	0.1324850952
372	0.1324463893
373	0.1323946804
374	0.132370928
375	0.1323423461
376	0.1322788916
377	0.1322565291
378	0.132245605
379	0.1322265744
380	0.1321855393
381	0.1321675545
382	0.1321339486
383	0.1321073234
384	0.1320797628
385	0.1320557787
386	0.1320126329
387	0.1319792225
388	0.1319615932
389	0.1319156633
390	0.1318712548
391	0.1318305939
392	0.1318141715
393	0.1317838802
394	0.1317454034
395	0.1317081286
396	0.1316829744
397	0.1316571878
398	0.1316347492
399	0.1315803186
400	0.1315412201
401	0.1314879905
402	0.1314558394
403	0.1314223584
404	0.1313492005
405	0.1313331235
406	0.1313091505
407	0.1312754747
408	0.1312422211
409	0.1311864727
410	0.1311453764
411	0.1311123042
412	0.1310754143
413	0.131055195
414	0.1310277817
415	0.1309895575
416	0.1309538195
417	0.1309321728
418	0.1308969109
419	0.1308514127
420	0.1308364954
421	0.1307894003
422	0.1307576104
423	0.1307316288
424	0.1306967094
425	0.1306468825
426	0.1306068963
427	0.1305792628
428	0.1305515691
429	0.1305286755
430	0.1304811451
431	0.1304625538
432	0.1304179875
433	0.1303762861
434	0.130352558
435	0.1303055515
436	0.1302610858
437	0.13022017
438	0.1301746284
439	0.1301318715
440	0.1300945076
441	0.1300748345
442	0.1300358787
443	0.1299838723
444	0.1299464985
445	0.1298947794
446	0.1298656516
447	0.1297892364
448	0.1297419661
449	0.1296778619
450	0.1296475686
451	0.1296206029
452	0.129580204
453	0.1295432773
454	0.1294989019
455	0.1294556541
456	0.1294162829
457	0.1293967625
458	0.1293570984
459	0.1293041984
460	0.1292671316
461	0.1292349551
462	0.1291817414
463	0.1291435162
464	0.1291176549
465	0.1290613938
466	0.1290326147
467	0.1290020099
468	0.1289209834
469	0.1288713357
470	0.1288401555
471	0.1288053697
472	0.1287727662
473	0.1287434375
474	0.1287149758
475	0.1286796772
476	0.128644102
477	0.1286114819
478	0.1285505266
479	0.1285451541
480	0.1284937629
481	0.1284376075
482	0.1284101901
483	0.1283666751
484	0.1283454865
485	0.1282946315
486	0.1282617133
487	0.128229732
488	0.1281839296
489	0.1281535728
490	0.1281184671
491	0.1281110357
492	0.1280801597
493	0.1280561367
494	0.1280292676
495	0.1279854343
496	0.1279620968
497	0.1279013102
498	0.1278561509
499	0.1278040662
500	0.1277860249
501	0.1277255689
502	0.1276952339
503	0.1276504843
504	0.1276244194
505	0.1275929258
506	0.1275668157
507	0.1275493106
508	0.1275207683
509	0.1274756303
510	0.1274180175
511	0.1273848794
512	0.1273568302
513	0.1273324272
514	0.1273185325
515	0.1272857594
516	0.1272558047
517	0.1272240793
518	0.1272031525
519	0.1271765729
520	0.1271459711
521	0.1271198438
522	0.1270928066
523	0.1270692743
524	0.127045406
525	0.1270167196
526	0.1269817172
527	0.1269447862
528	0.1269213941
529	0.1268598486
530	0.126836388
531	0.1267683849
532	0.1267164118
533	0.1266991829
534	0.1266657954
535	0.1266443327
536	0.1265775762
537	0.1265157299
538	0.1264788018
539	0.1264533455
540	0.1264131299
541	0.1263916886
542	0.1263842656
543	0.1263548493
544	0.1263213938
545	0.1262933006
546	0.1262708519
547	0.1262431598
548	0.1262198019
549	0.1262017737
550	0.1261458431
551	0.1261100954
552	0.1260782691
553	0.1260596999
554	0.1260336492
555	0.1260019846
556	0.1259733536
557	0.1259518128
558	0.1259381379
559	0.1259219475
560	0.1258760793
561	0.1258453831
562	0.1258039104
563	0.1257696521
564	0.1257166862
565	0.1256958864
566	0.1256483715
567	0.1256117741
568	0.1255667261
569	0.1255431822
570	0.1255056273
571	0.1254752211
572	0.1254442606
573	0.1254242911
574	0.1253999923
575	0.1253486492
576	0.1253034436
577	0.1252536962
578	0.1252345637
579	0.1252020803
580	0.1251406752
581	0.1251336549
582	0.125111474
583	0.1250967475
584	0.125073776
585	0.1250043884
586	0.1249875567
587	0.1249624201
588	0.1249369479
589	0.1248911044
590	0.1248457528
591	0.1248245452
592	0.1247980676
593	0.124761688
594	0.1247540964
595	0.1247029517
596	0.124663259
597	0.1246213605
598	0.1245970232
599	0.1245530262
600	0.1245320994
601	0.1245124851
602	0.1244908522
603	0.1244642663
604	0.1244471296
605	0.1244334334
606	0.124417683
607	0.1243966178
608	0.1243696305
609	0.1243503844
610	0.1243359888
611	0.1242962655
612	0.1242559808
613	0.1242111349
614	0.1241767565
615	0.1241704929
616	0.1241633305
617	0.1241429957
618	0.1241298987
619	0.1241043752
620	0.1240861452
621	0.124063419
622	0.1240416267
623	0.1240171102
624	0.123996763
625	0.1239909502
626	0.1239625181
627	0.1239463763
628	0.123913144
629	0.1238814492
630	0.1238576399
631	0.1238182237
632	0.1237489413
633	0.1237359764
